Representative_Sequence	total	0001	0002	0003	0004	0005	0006	0007	0008	0009	0010	0011	0012	0013	0014	0015	0016	0017	0018	0019	0020	0021	0022	0023	0024	0025	0026	0027	0028	0029	0030	0031	0032	0033	0034	0035	0036	0037	0038	0039	0040	0041	0042	0043	0044	0045	0046	0047	0048	0049	0050	0051	0052	0053	0054	0055	0056	0057	0058	0059	0060	0061	0062	0063	0064	0065	0066	0067	0068	0069	0070	0071	0072	0073	0074	0075	0076	0077	0078	0079	0080	0081	0082	0083	0084	0085	0086	0087	0088	0089	0090	0091	0092	0093	0094	0095	0096	0097	0098	0099	0100	0101	0102	0103	0104	0105	0106	0107	0108	0109	0110	0111	0112	0113	0114	0115	0116	0117	0118	0119	0120	0121	0122	0123	0124	0125	0126	0127	0128	0129	0130	0131	0132	0133	0134	0135	0136	0137	0138	0139	0140	0141	0142	0143	0144	0145	0146	0147	0148	0149	0150	0151	0152	0153	0154	0155	0156	0157	0158	0159	0160	0161	0162	0163	0164	0165	0166	0167	0168	0169	0170	0171	0172	0173	0174	0175	0176	0177	0178	0179	Mock1	Mock2	NTCI1	NTCI2	NTCTS1	NTCTS2
Zotu432	1209	124	55	0	0	0	0	0	0	0	0	0	0	1	0	8	7	0	0	0	0	0	0	1	0	40	0	0	0	25	19	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	38	0	0	0	56	12	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	147	1	0	0	0	0	0	0	78	6	0	215	13	0	0	179	0	2	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	11	15	0	0	0	0	0	0	2	0	0	25	0	0	0	0	0	0	0	0	0	0	1	0	0	48	0	0	1	0	13	17	23	0	0	0	0	0	0	0	0	0	0	0	0	2	77	0	0	1	0	0	0	0	1	51	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu482	52	1150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu683	28	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu97	3781	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	1	0	0	0	0	0	0	719	2694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	0	0	0	0	19	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Zotu1886	1077	53	18	1	36	6	0	0	0	0	0	0	18	0	0	0	7	0	0	15	0	30	2	58	96	96	31	0	2	0	14	0	0	0	0	1	0	0	9	1	0	7	0	12	0	13	5	16	16	0	8	12	0	25	0	5	0	1	0	0	0	0	0	32	0	0	1	0	5	22	0	0	9	24	0	10	104	2	0	21	3	0	19	0	13	0	3	2	12	0	0	0	9	0	0	2	0	0	0	3	0	10	11	0	4	0	0	0	10	0	2	12	40	0	1	0	2	16	0	3	0	0	1	0	0	0	0	0	3	1	8	5	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	6	24	8	0	3	0	11	0	0	0	0	0	8	1	0	9	0	0	2	5	1	0	3	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0
Zotu377	4293	92	36	2	33	83	0	47	40	4	5	166	69	5	29	1	37	93	0	0	277	62	3	17	95	144	21	29	15	29	47	5	13	0	3	101	0	41	10	30	114	11	195	57	0	30	0	6	178	0	24	3	98	32	0	52	4	21	34	111	27	42	1	39	0	112	8	95	20	16	41	272	66	72	0	39	28	13	0	2	0	59	132	11	17	28	0	9	4	23	29	0	32	19	5	3	0	0	0	5	0	5	9	0	23	0	0	0	0	2	0	3	13	7	1	0	6	7	0	9	21	1	2	4	0	4	3	9	4	2	4	4	5	3	17	1	4	1	1	4	0	3	0	2	0	1	43	22	0	0	0	0	10	31	7	8	3	5	2	13	0	8	2	7	9	4	6	53	13	1	2	0	0	10	0	0	4	9	4	0	0	1	0	0	0	0
Zotu1517	443	2	7	0	0	0	0	3	0	7	1	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	8	3	0	3	0	35	0	0	17	4	0	0	0	0	0	0	0	0	0	0	0	0	0	18	3	4	0	0	22	0	0	0	0	0	45	0	0	30	0	3	12	2	0	0	3	24	0	0	0	3	17	0	0	0	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	11	0	0	1	0	3	0	2	0	3	7	2	0	4	2	0	0	3	1	0	1	0	0	1	0	1	0	1	0	11	0	0	0	0	0	0	0	2	0	29	0	0	0	0	0	0	0	0	3	0	0	0	0	5	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
Zotu832	796	51	2	0	0	5	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	10	0	2	60	6	5	4	0	41	0	0	0	0	1	0	0	36	6	0	0	0	0	0	0	0	0	0	0	0	1	33	0	28	0	73	0	0	0	1	0	10	0	94	0	0	0	0	29	0	0	0	6	0	0	2	1	0	0	0	0	2	95	1	37	34	5	0	0	0	7	0	8	12	0	13	0	0	0	1	3	0	9	0	0	0	0	0	0	0	1	0	0	5	0	0	4	1	0	0	0	0	2	0	0	0	0	0	11	0	8	0	7	0	1	0	3	1	0	1	0	0	0	0	0	2	3	2	0	0	5	0	33	0	0	0	0	0	2	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Zotu229	2096	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	69	0	0	0	0	0	0	0	0	1	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	294	0	0	0	0	0	0	0	202	0	0	54	5	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0	464	0	0	0	0	0	0	18	4	273	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu228	4404	195	0	28	101	13	0	158	0	0	0	0	30	23	0	0	0	0	0	0	0	0	0	236	0	0	85	152	12	20	0	204	0	0	0	0	175	0	0	0	0	22	0	0	0	12	43	1	60	0	0	123	1	1	97	48	0	90	0	1	232	8	653	4	0	0	57	0	7	33	0	0	0	163	46	32	106	0	0	13	0	0	184	0	28	0	161	0	0	150	0	0	5	0	0	0	0	0	0	0	9	20	0	16	0	0	0	91	0	0	0	0	0	0	13	0	0	4	0	0	0	0	0	1	0	0	0	34	0	0	0	16	0	18	0	33	0	0	0	0	0	0	0	0	0	0	0	47	176	0	9	0	0	0	0	0	0	0	0	67	17	0	0	99	0	42	0	0	52	0	1	0	0	0	0	0	3	16	0	0	0	0	2	0	0	0
