Representative_Sequence	total	0001	0002	0003	0004	0005	0006	0007	0008	0009	0010	0011	0012	0013	0014	0015	0016	0017	0018	0019	0020	0021	0022	0023	0024	0025	0026	0027	0028	0029	0030	0031	0032	0033	0034	0035	0036	0037	0038	0039	0040	0041	0042	0043	0044	0045	0046	0047	0048	0049	0050	0051	0052	0053	0054	0055	0056	0057	0058	0059	0060	0061	0062	0063	0064	0065	0066	0067	0068	0069	0070	0071	0072	0073	0074	0075	0076	0077	0078	0079	0080	0081	0082	0083	0084	0085	0086	0087	0088	0089	0090	0091	0092	0093	0094	0095	0096	0097	0098	0099	0100	0101	0102	0103	0104	0105	0106	0107	0108	0109	0110	0111	0112	0113	0114	0115	0116	0117	0118	0119	0120	0121	0122	0123	0124	0125	0126	0127	0128	0129	0130	0131	0132	0133	0134	0135	0136	0137	0138	0139	0140	0141	0142	0143	0144	0145	0146	0147	0148	0149	0150	0151	0152	0153	0154	0155	0156	0157	0158	0159	0160	0161	0162	0163	0164	0165	0166	0167	0168	0169	0170	0171	0172	0173	0174	0175	0176	0177	0178	0179	Mock1	Mock2	NTCI1	NTCI2	NTCTS1	NTCTS2
Zotu4610	526	2	3	0	0	8	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	26	0	0	1	0	0	21	3	11	0	5	4	88	0	0	1	0	0	0	0	10	0	0	19	0	0	0	0	32	1	0	2	1	0	0	5	131	0	0	0	1	0	2	0	0	0	0	0	13	2	0	0	4	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	6	1	3	4	29	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	3	0	0	0	0	4	0	0	0	0	0	9	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2988	187	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	61	1	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0
Zotu2509	784	1	0	0	0	0	0	43	3	0	0	0	10	13	0	3	4	0	0	0	0	0	0	5	0	26	2	2	1	7	96	0	0	0	0	0	1	0	7	0	0	0	0	44	0	8	0	0	39	0	0	1	8	0	72	0	0	7	2	13	0	6	7	24	0	0	13	0	8	0	53	7	9	2	10	0	0	0	0	0	0	0	3	0	34	0	0	1	0	14	104	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	14	4	0	4	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0
Zotu5747	50	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4976	58	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1744	537	3	0	0	28	1	0	0	0	0	0	0	50	0	0	0	0	2	0	6	0	2	0	9	0	53	24	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	46	0	2	0	1	23	0	18	5	0	3	0	0	0	0	1	0	0	4	0	13	0	0	0	0	0	3	0	67	60	3	0	0	12	0	0	0	0	0	1	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	2	0	2	8	0	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Zotu928	404	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu611	767	2	9	7	0	1	270	7	0	2	1	1	4	6	0	30	0	4	4	3	8	0	0	1	2	0	0	1	1	7	5	2	3	2	0	0	116	6	1	0	0	11	8	1	8	5	0	8	2	0	0	0	0	17	1	44	1	3	7	0	0	1	11	0	26	0	20	0	7	4	0	6	0	1	0	0	0	1	0	0	7	2	5	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	6	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	3	0	2	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0
Zotu6259	1334	1	0	11	0	0	0	5	25	0	0	0	10	20	0	0	3	0	0	0	145	0	2	0	10	0	0	21	0	11	0	0	163	0	0	0	0	0	0	0	0	0	30	0	0	0	16	0	6	0	0	0	2	0	0	0	577	11	9	59	0	0	1	0	0	0	0	0	0	0	35	0	0	0	0	1	0	0	0	1	0	0	0	0	12	0	0	1	9	0	36	0	0	0	0	1	0	0	0	0	0	1	7	0	0	0	7	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	3	7	0	0	0	1	0	0	0	0	5	0	0	0	1	0	1	0	0	1	2	0	0	0	0	9	0	18	1	0	0	0	0	1	0	2	12	6	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0
Zotu4687	76	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16	0	1	0	0	0	1	0	0	4	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	7	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1605	173	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5383	262	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	15	8	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	28	0	0	68	0	0	0	3	0	0	0	10	0	0	0	0	0	50	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu699	782	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	2	9	0	56	0	0	0	0	0	0	0	12	0	0	7	0	14	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	13	25	0	1	43	0	0	41	0	0	28	0	0	0	66	0	21	0	0	0	2	0	183	72	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	6	0	1	0	0	7	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	19	4	0	1	2	0	0	0	0	0	0	5	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0
Zotu714	569	1	0	0	0	4	0	0	0	4	7	0	0	0	0	0	0	145	0	0	0	0	2	2	3	0	0	0	5	0	40	0	0	1	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	64	0	0	0	0	36	0	2	1	1	1	0	0	29	0	0	17	0	0	2	1	0	2	78	2	11	0	0	0	16	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	5	0	10	0	0	3	0	12	1	0	0	0	4	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	11	6	0	0	1	0	0	0	0	1	2	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Zotu473	1534	1	7	0	0	27	6	3	0	0	0	0	22	1	0	1	12	0	0	89	0	5	0	30	0	12	85	0	3	4	8	114	0	0	0	0	9	0	0	3	2	0	0	124	0	21	0	2	50	0	49	0	34	0	42	16	0	3	0	0	38	0	3	2	0	0	3	0	0	20	0	89	90	24	32	11	6	0	0	14	0	0	15	10	0	0	0	0	1	43	0	0	0	0	0	0	0	0	0	8	2	43	0	2	0	0	0	0	4	1	39	74	0	0	1	0	0	1	0	0	6	0	0	0	0	13	0	4	0	0	0	23	0	1	0	1	0	0	0	1	0	3	2	0	0	0	1	5	4	0	0	0	0	0	37	0	0	0	0	0	0	12	0	5	0	32	0	0	15	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu5678	737	2	64	4	0	5	1	0	0	0	1	0	2	6	0	4	0	17	0	0	0	1	1	0	0	0	9	0	0	1	20	0	0	0	0	0	0	0	4	4	2	0	0	0	0	0	8	9	4	0	154	5	24	4	0	3	0	7	0	0	9	1	0	104	0	0	18	0	16	3	0	13	0	0	0	0	4	3	0	0	0	0	0	2	0	0	1	2	0	6	0	0	12	1	38	0	0	0	0	0	0	0	0	0	1	0	2	0	6	9	0	20	17	0	0	0	1	0	0	6	19	0	0	2	0	2	0	0	1	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	1	0	5	0	0	14	0	0	0	0	0	5	1	1	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu765	655	2	0	0	0	0	0	0	0	5	51	6	11	0	0	2	94	0	0	0	0	0	4	13	9	0	0	0	0	5	0	0	0	0	0	8	0	0	0	0	0	58	1	0	0	4	57	0	6	0	39	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	8	0	0	0	16	0	0	0	21	0	7	0	0	0	12	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	3	0	0	3	0	0	0	0	0	0	0	3	0	0	0	33	0	0	47	0	0	0	74	6	2	0	0	0	0	0	0	12	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0
Zotu3292	186	1	0	0	7	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	20	0	0	0	6	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	27	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Zotu5155	214	1	0	0	9	0	0	0	0	2	0	0	1	2	0	0	2	13	0	0	0	1	0	0	1	43	0	0	0	0	8	0	0	0	0	0	0	0	5	0	0	1	0	4	0	0	0	1	5	0	0	0	1	0	0	0	0	8	16	0	1	0	0	17	0	0	0	0	0	0	0	10	0	0	0	2	24	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	20	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu5732	67	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1319	307	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	132	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	23	0	0	0	0	25	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	9	1	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	3	1	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3161	145	1	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	2	0	0	3	0	0	0	0	1	14	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	2	0	1	3	1	0	3	59	0	0	0	0	0	0	0	6	1	0	0	14	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3656	108	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1
Zotu4867	229	1	0	0	5	9	0	4	0	0	0	0	1	0	0	0	0	0	0	11	0	0	0	4	0	0	1	1	0	0	11	3	0	0	0	0	0	0	3	0	4	0	0	11	0	2	2	2	1	0	0	3	44	0	2	3	0	1	2	0	8	0	6	1	0	0	0	0	1	0	0	10	3	2	0	2	8	0	0	1	0	0	0	0	4	0	0	1	6	10	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	3	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6339	77	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	0	0	0	0	8	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	18	1	0	0	0	0	0	3	10	1	0	0	1	0	0	0	0	0	0	0	7	0	1	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1030	2835	2	91	0	9	28	48	53	0	0	4	0	24	0	0	9	5	227	0	0	0	7	1	0	0	13	2	5	5	67	115	34	0	4	0	1	15	155	9	5	0	15	0	5	0	2	5	9	83	1	134	2	96	0	173	27	0	10	33	29	23	8	17	180	0	0	18	0	3	3	84	78	5	0	111	9	21	7	0	4	1	0	1	0	34	0	3	0	54	44	189	0	27	1	66	0	0	0	0	0	0	1	0	21	1	0	0	9	12	1	3	36	0	4	6	0	0	3	0	4	53	0	0	0	0	4	0	6	0	0	5	2	0	4	0	0	0	0	0	0	0	4	3	1	1	0	0	12	0	0	0	0	0	0	3	0	0	0	2	3	34	0	0	3	0	8	17	0	2	7	2	0	0	0	0	0	1	0	5	0	0	1	0	0	0	0
Zotu4679	716	2	0	0	0	6	0	0	0	0	12	0	18	2	0	0	1	0	0	0	0	0	12	29	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	13	28	0	0	0	0	128	0	0	0	0	0	0	4	0	0	4	0	1	11	24	0	2	0	0	0	0	35	0	0	0	32	5	0	44	0	40	0	48	0	0	0	75	7	49	0	0	0	36	0	9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Zotu5792	141	1	3	0	0	1	5	0	0	0	2	0	16	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	2	8	0	0	0	0	0	0	24	0	1	0	1	0	4	0	0	0	0	16	0	8	0	2	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	11	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3071	324	2	0	0	0	0	0	0	0	0	0	0	1	0	151	0	14	0	0	0	0	0	0	0	1	39	0	0	0	0	0	0	0	0	39	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	15	0	0	0	0	0	0	4	3	0	0	0	2	15	0	0	0	0	0	0	0	6	0	0	0	0	2	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu2978	128	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	7	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3395	353	3	1	0	8	6	0	0	0	0	0	4	3	0	1	0	0	4	0	0	2	2	0	4	0	19	2	0	0	0	5	0	0	0	0	4	0	4	5	0	0	0	1	7	0	0	0	1	1	0	58	0	1	6	0	6	1	6	0	0	0	1	9	9	5	5	0	10	3	2	2	1	10	9	0	6	4	1	0	1	0	4	2	0	2	0	0	0	14	5	2	0	1	1	5	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	11	0	1	0	0	0	5	0	2	0	0	2	1	2	0	0	0	3	2	0	4	6	0	3	0	0	0	7	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	1	3	13	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2261	118	2	0	0	0	0	0	0	0	0	6	0	1	0	0	5	0	0	0	0	0	0	0	0	2	0	0	3	1	3	3	0	0	0	0	0	0	0	0	0	0	0	37	1	0	0	0	0	0	0	9	0	0	4	0	4	0	8	0	0	0	0	3	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	4	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3336	118	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	3	0	12	0	0	0	0	0	0	0	0	0	0	33	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4832	203	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	7	3	10	0	0	17	0	0	0	39	0	0	0	0	8	0	0	1	0	0	0	0	8	0	0	10	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	2	0	0	20	0	0	3	0	0	0	0	4	0	0	0	8	15	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
Zotu2272	192	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
